A2:GROUP,B5:SEX,B6:M-STATUS,B7:EDUCATION,B8:HH_SIZE,C1:TOT_INCOME/A,C2:INCOME/B/FISH,C4:INCOME/B/ALT,C5:TOT_INCOME/B,D1.1:A_BIKE,D1.1-A_QTY,D1.2:A_MOTORC,D1.2-A_QTY,D1.3:A_TRICYCLE,D1.3-A_QTY,D1.4:A_CAR,D1.4-A_QTY,D1.5:A_JEEP,D1.5-A_QTY,D1.6:A_TRUCK,D1.6-A_QTY,D1.7:A_OTHERS,D1.7-A_QTY,D1/A:YC_VEH,D1/A:AC_VEH,D1/A:Ind_VEH,D2.1:A_TV,D2.1-A_QTY,D2.2:A_DVD,D2.2-A_QTY,D2.3:A_WASH-M,D2.3-A_QTY,D2.4:A_AC,D2.4-A_QTY,D2.5:A_E-FAN,D2.5-A_QTY,D2.6:A_FRIDGE,D2.6-A_QTY,D2.7:A_STOVE,D2.7-A_QTY,D2.8:A_E-HEATER,D2.8-A_QTY,D2.9:A_FURNITURE,D2.9-A_QTY,D2.10:A_OTHERS,D2.10-A_QTY,D2/A:YC_APP,D2/A:AC_APP,D3.1:A_CP,D3.1-A_QTY,D3.2:A_LANDLINE,D3.2-A_QTY,D3.3:A_COMPUTER,D3.3-A_QTY,D3.4:A_OTHERS,D3.4-A_QTY,D3/A:YC_GAD,D3/A:AC_GAD,D3/A:IndGAD,E1:A_DRINK-H2O,E2:A_DOMESTIC-H2O,E3:A_POWER-SUP,E4:A_COOK-FUEL,E5:A_NET-SUBS,F1:A_HOUSE-OWN,F2:A_HOUSE-ACQ,F3:A_HOUSE-BUILT,F4:A_OTHER-RP,G1:A_SSS,G2:A_GSIS,G3:A_PhilHealth,G4:A_PN-IN,G5:A_LIFE-IN,G6:A_HEALTH-IN,G/A:Ind_INSU,D1.1:B_BIKE,D1.1-B_QTY,D1.2:B_MOTORC,D1.2-B_QTY,D1.3:B_TRICYCLE,D1.3-B_QTY,D1.4:B_CAR,D1.4-B_QTY,D1.5:B_JEEP,D1.5-B_QTY,D1.6:B_TRUCK,D1.6-B_QTY,D1.7:B_OTHERS,D1.7-B_QTY,D1/B:YC_VEH,D1/B:AC_VEH,D1/B:Ind_VEH,D2.1:B_TV,D2.1-B_QTY,D2.2:B_DVD,D2.2-B_QTY,D2.3:B_WASH-M,D2.3-B_QTY,D2.4:B_AC,D2.4-B_QTY,D2.5:B_E-FAN,D2.5-B_QTY,D2.6:B_FRIDGE,D2.6-B_QTY,D2.7:B_STOVE,D2.7-B_QTY,D2.8:B_E-HEATER,D2.8-B_QTY,D2.9:B_FURNITURE,D2.9-B_QTY,D2.10:B_OTHERS,D2.10-B_QTY,D2/B:YC_APP,D2/B:AC_APP,D3.1:B_CP,D3.1-B_QTY,D3.2:B_LANDLINE,D3.2-B_QTY,D3.3:B_COMPUTER,D3.3-B_QTY,D3.4:B_OTHERS,D3.4-B_QTY,D3/B:YC_GAD,D3/B:AC_GAD,D3/B:IndGAD,E1:B_DRINK-H2O,E2:B_DOMESTIC-H2O,E3:B_POWER-SUP,E4:B_COOK-FUEL,E5:B_NET-SUBS,F1:B_HOUSE-OWN,F2:B_HOUSE-ACQ,F3:B_HOUSE-BUILT,F4:B_OTHER-RP,G1:B_SSS,G2:B_GSIS,G3:B_PhilHealth,G4:B_PN-IN,G5:B_LIFE-IN,G6:B_HEALTH-IN,G/B:Ind_INSU,H1:4Ps,H2:RET_P,H3:SPES,H4:AL_P,H5:TBE,H6:F_PC,H7:AS_P,H8:E/CW_P,I1:FD_Y,I2:A/C_M,I3:???,I4:TFA,I5:TFV,I6.1:GN,I6.2:FT,I6.3:PPN,I6.4:H&L,I6.5:OTHERS,I7.1:LIFE_J,I7.2:LIFE_B,I7.3:F_LIGHT,I7.4:CP,I7.5:OTHERS,I8.1:BAD_W,I8.2:FISH_R,I8.3:BOAT_P,I8.4:FISH_COMP,I8.5:OTHERS,Y_BOAT-RE,NY_W/BOAT,BOAT_COND,J1:BOAT_AGREE,J2:BOAT_TYPE,J3:BOAT_DESIGN,J4:BOAT_COND,J4: REASON-NO,J5.1,J5.2,J5.3,J5.4,J5.5,J5.6,J5.7,J6.1,J6.2,J6.3,J6.4,J6.5,J6.6,J7.1,J7.2,J7.3,J7.4,J7.5
1,1,2,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,2,0,1,0.0,1.0,4.0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,1,2,0,1,0.0,1.0,4.0,0,0,1,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,1,3,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,2022.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,2,3,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,3,1,3,2,0,1,0.0,1.0,4.0,1,0,1,0,1,0,60,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,3,1,1,2,0,1,0.0,1.0,4.0,1,0,1,0,1,0,60,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2,1,1,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2021.0,3.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
1,1,1,3,2,1,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,50,0.5,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,2,3,0,3,3.5,1.0,2.5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,28.6,0.29,8.16,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,40,0.4,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,3,0,3,3.5,1.0,2.5,1,0,1,1,0,0,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,5,1,3,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,2020.0,4.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0
1,1,2,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,3,4,2,2,0,3,3.5,2.5,0.0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,3,4,3,2,0,3,3.5,2.5,0.0,0,0,1,0,0,0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,0,2,4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,2018.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
1,1,2,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,30,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,2,0,1,0.0,2.5,4.0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,30,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,3,2,0,1,0.0,2.5,4.0,0,0,1,0,0,0,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,2,1,1,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2018.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
1,1,1,3,2,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,4,1,2,2,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,4,1,3,2,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2017.0,7.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,3.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,2,3,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,2,2,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,2,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2,2,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2018.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0
1,1,2,3,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30,0.3,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,0,2,0,3,3.5,2.5,2.5,1,0,1,0,0,0,40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30,0.3,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,0,2,0,3,3.5,2.5,2.5,0,0,1,0,0,0,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1,0,1,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2021.0,3.0,2.0,1.0,1.0,4.0,1.0,0.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,1,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,30,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,3,4,2,2,0,3,3.5,2.5,0.0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,30,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,3,4,3,2,0,3,3.5,2.5,0.0,0,0,1,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2019.0,5.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
1,1,2,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,2,0,2,0.0,2.5,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,3,2,0,2,0.0,2.5,4.0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2017.0,7.0,1.0,2.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0
1,1,3,2,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,2,2,0,1,0.0,2.5,4.0,1,0,1,1,0,0,60,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,2,0,1,0.0,2.5,4.0,1,0,1,1,0,0,60,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4,1,0,1,3,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,2018.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0
1,1,1,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,3,4,2,2,0,3,3.5,2.5,0.0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,3,4,3,2,0,3,3.5,2.5,0.0,0,0,1,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2016.0,8.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0
1,1,2,3,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,2,2,0,1,0.0,1.0,4.0,0,0,1,0,0,0,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,28.6,0.29,8.16,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,2,0,1,0.0,1.0,4.0,0,0,1,0,0,0,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,2,1,1,3,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2016.0,8.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0
1,1,2,3,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,2,0,3,3.5,2.5,0.0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,3,2,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2,2,2,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2016.0,8.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,2,5,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,2,2,0,3,3.5,1.0,4.0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,2,0,3,3.5,1.0,4.0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,2,1,1,3,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2016.0,8.0,2.0,2.0,1.0,4.0,2.0,2.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0
1,1,1,3,1,1,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,30,0.3,1,1,0,0,0,0,0,0,25,0.25,6.25,4,4,2,4,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,30,0.3,1,1,0,0,0,0,0,0,25,0.25,6.25,4,4,3,4,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2018.0,6.0,2.0,2.0,1.0,4.0,1.0,0.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,2,3,3,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,3,4,2,2,0,3,3.5,2.5,4.0,1,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.1,1,1,0,0,0,0,0,0,25,0.25,6.25,3,4,3,2,0,3,3.5,2.5,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,1,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2017.0,7.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,2,3,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,40,0.4,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,2,2,0,3,2.0,2.5,0.0,1,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,40,0.4,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,2,0,3,2.0,2.5,0.0,1,0,1,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2,1,2,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2016.0,8.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1,4,3,3,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,60,0.6,1,1,0,0,0,0,0,0,25,0.25,6.25,2,1,2,4,0,3,3.5,1.0,2.5,1,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,60,0.6,1,1,0,0,0,0,0,0,25,0.25,6.25,3,1,3,4,0,3,3.5,1.0,2.5,1,0,1,0,0,0,40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,2,1,1,3,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,2019.0,5.0,2.0,1.0,1.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0,1,2,3,2,2,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,0,0,28.6,0.29,8.16,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,40,0.4,1,1,0,0,0,0,0,0,25,0.25,6.25,4,1,2,4,0,1,0.0,2.5,0.0,1,0,1,0,0,0,40,0,0,0,0,1,1,1,1,0,0,0,0,0,0,28.6,0.29,8.16,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,60,0.6,1,1,0,0,0,0,0,0,25,0.25,6.25,4,1,3,4,1,1,0.0,2.5,0.0,1,0,1,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,1,1,3,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,1,2,3,2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,28.6,0.29,8.16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,2,3,2,2,0,3,3.5,2.5,0.0,1,0,1,0,0,0,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,2,3,3,2,0,3,3.5,2.5,0.0,1,0,1,0,0,0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2,1,1,3,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,1,2,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,3,1,2,2,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20,0.2,1,1,0,0,0,0,0,0,25,0.25,6.25,4,1,3,2,0,3,3.5,2.5,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,2,1,1,3,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,1,2,3,2,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0.3,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,2,2,0,3,1.0,2.5,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,0.3,1,1,0,0,0,0,0,0,25,0.25,6.25,1,1,3,2,0,3,1.0,2.5,0.0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4,1,0,1,3,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,1,2,3,3,2,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,60,0.6,1,1,1,1,0,0,0,0,50,0.5,25.0,4,1,2,4,1,3,3.5,2.5,0.0,1,0,1,0,0,0,40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.3,0.14,2.04,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,60,0.6,1,1,1,1,0,0,0,0,50,0.5,25.0,4,1,3,4,1,3,3.5,2.5,0.0,1,0,1,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,2,2,1,3,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
